id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
811db41c-4992-44c5-8ac3-67f73a7ed557,207d702d-34bf-47f3-8ea8-f5dac3dbed1b,Entire home/apt,Copacabana,1.0,0.0,9.0,23,1.1574074074074073e-05,0.25
16339b0d-9133-42a2-8474-cb62e41b811e,4357c920-90ac-4b12-a0f3-e7a9fc978153,Private room,-unknown-,0.0,0.0,2.0,3,,0.0
dfe70119-e9d3-445d-95f5-d69754bec411,ead78024-d745-40fa-9e4e-abb0cfdc5966,Entire home/apt,-unknown-,0.0,16.0,16.0,17,,0.0
5e29b103-bf9f-4a80-8122-94f892e53909,764a4b29-598b-463a-bbcf-17c25925cf46,Entire home/apt,-unknown-,0.0,1.0,6.0,4,,0.0
261917c5-0378-4a79-bce6-de34ce54034a,0368b67f-9777-4e82-a96d-47e3c46ab6d9,Entire home/apt,Ipanema,0.0,377.0,24.0,57,,0.0
b6226ede-df43-430e-892d-552b74918ee0,44b2db0c-3e5a-4bdc-9843-df7913a033a0,Entire home/apt,Copacabana,5.0,55.0,8.0,69,0.0024004629629629627,1.0
43fb19ca-bce5-4bab-9aac-c7c652b9c0a5,00c283f6-eafc-4748-9648-fea6414a9122,Entire home/apt,Copacabana,2.0,40.0,12.0,26,0.06619212962962963,0.5
2ed52e24-d8fa-43fa-a65d-d3b103f9127b,73f9cbd5-7557-4137-9a35-7fde4e2d7ee2,Entire home/apt,Copacabana,2.0,93.0,88.0,160,0.05170138888888889,0.06451612903225806
6270bb97-ee8e-4428-a4b1-4c1f25434981,1058fdb1-0c3f-4f12-8bd5-0a98994bba88,Entire home/apt,-unknown-,0.0,0.0,1.0,7,,0.0
85657db6-b86f-424b-a836-2df6843dcc3c,005b41f1-38af-4499-9b74-017298a818f0,Entire home/apt,-unknown-,2.0,50.0,3.0,24,5.787037037037037e-06,1.0
c9a62137-749c-45cc-a096-8e8b866ec178,a6c5eee6-02ba-461f-9159-d8872294cd7d,Entire home/apt,Copacabana,0.0,43.0,1.0,3,,0.0
